item_name,category,price
Paneer Butter Masala,Main Course,180
Veg Biryani,Main Course,150
Butter Naan,Bread,25
Coca Cola,Drinks,40
Gulab Jamun,Dessert,60
Paneer Tikka,Appetizer,120
Veg Pakora,Appetizer,80 
Veg Salad,Appetizer,50
Dal Makhani,Main Course,170 
Chole Bhature,Main Course,160
Masala Chai,Drinks,30
Veg Pulao,Main Course,140
Lassi,Drinks,50
Paneer Bhurji,Main Course,190
Aloo Gobi,Main Course,130
Veg Korma,Main Course,200
Veg Spring Roll,Appetizer,70
Veg Manchurian,Appetizer,90
Raita,Side Dish,40
Veg Hakka Noodles,Main Course,160
Veg Fried Rice,Main Course,150
Mango Lassi,Drinks,60
Veg Thali,Main Course,220
Veg Pakoda,Appetizer,75
Veg Soup,Appetizer,60
Veg Curry,Main Course,180
Paneer Tikka Masala,Main Course,200
Veg Sandwich,Appetizer,100
Veg Cutlet,Appetizer,85
Veg Dhokla,Appetizer,55
Veg Pani Puri,Appetizer,65
Veg Samosa,Appetizer,45
Veg Kathi Roll,Appetizer,110
Veg Bhel Puri,Appetizer,40
Veg Aloo Tikki,Appetizer,50
Veg Pakora Chaat,Appetizer,90
Veg Pesto Pasta,Main Course,210
Veg Alfredo Pasta,Main Course,230
Veg Cheese Pizza,Main Course,250
Veg Margherita Pizza,Main Course,220
Veg Tandoori Pizza,Main Course,240
Veg Garlic Bread,Appetizer,30
Veg Bruschetta,Appetizer,40
Veg Nachos, Appetizer,70
Veg Spring Onion Soup ,Appetizer,55
Veg Corn Soup,Appetizer,65
Veg Tomato Soup,Appetizer,60
Veg Hot and Sour Soup ,Appetizer,70
Veg Lemon Coriander Soup,Appetizer,75
Veg Thai Curry,Main Course,260
Veg Red Curry,Main Course,250
Veg Green Curry,Main Course,240
Veg Stir Fry,Main Course,230
Veg Fried Idli,Appetizer,80
Veg Upma,Appetizer,70
Veg Poha,Appetizer,60
Veg Uttapam,Appetizer,90
Veg Dosa,Appetizer,100
Veg Idli,Appetizer,70
Veg Vada,Appetizer,80
Veg Pesarattu,Appetizer,90
Veg Pongal,Appetizer,100
Veg Khichdi,Appetizer,110
Veg Bhel,Appetizer,50
Veg Sev Puri,Appetizer,60
Veg Ragda Pattice,Appetizer,80
Veg Dahi Puri,Appetizer,70
Veg Chaat,Appetizer,60
Veg Aloo Chaat,Appetizer,50
